VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-01-01 00:03:49,2020-01-01 00:12:02,1,1.54,1,N,238,236,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-01-01 00:36:19,2020-01-01 00:49:47,1,1.34,1,N,161,170,1,9.5,0.5,0.5,1,0,0.3,14.3,2.5
2,2020-01-01 00:54:59,2020-01-01 01:07:57,1,.78,1,N,107,90,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020-01-01 00:57:36,2020-01-01 01:01:40,1,.60,1,N,79,79,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2020-01-01 00:22:44,2020-01-01 00:46:01,1,3.53,1,N,249,237,1,16.5,0.5,0.5,5.08,0,0.3,25.38,2.5
2,2020-01-01 00:47:43,2020-01-01 01:10:44,1,6.53,1,N,237,231,1,22.5,0.5,0.5,5.26,0,0.3,31.56,2.5
1,2020-01-01 00:37:44,2020-01-01 00:58:21,1,4.10,1,N,237,231,1,16,3,0.5,3.95,0,0.3,23.75,2.5
1,2020-01-01 00:59:14,2020-01-01 01:13:00,1,2.70,1,N,231,68,1,12,3,0.5,3.15,0,0.3,18.95,2.5
2,2020-01-01 00:57:13,2020-01-01 00:58:05,1,.11,1,N,260,260,3,-2.5,-0.5,-0.5,0,0,-0.3,-3.8,0
2,2020-01-01 00:57:13,2020-01-01 00:58:05,1,.11,1,N,260,260,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2020-01-01 00:27:21,2020-01-01 00:41:36,1,2.62,1,N,43,107,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,2020-01-01 00:25:18,2020-01-01 00:32:19,1,.68,1,N,162,234,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020-01-01 00:44:37,2020-01-01 01:00:58,1,1.49,1,N,234,114,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5
2,2020-01-01 00:23:30,2020-01-01 00:41:40,1,4.41,1,N,263,246,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5
2,2020-01-01 00:21:11,2020-01-01 00:44:16,1,5.10,1,N,140,7,1,18.5,0.5,0.5,4.46,0,0.3,26.76,2.5
2,2020-01-01 00:33:24,2020-01-01 00:43:44,1,3.02,1,N,79,209,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
2,2020-01-01 00:06:44,2020-01-01 00:20:57,1,1.83,1,N,114,164,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,2020-01-01 00:25:31,2020-01-01 00:45:25,1,4.67,1,N,164,209,1,19,0.5,0.5,5.7,0,0.3,28.5,2.5
2,2020-01-01 00:50:33,2020-01-01 01:01:22,1,3.74,1,N,87,79,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
2,2020-01-01 00:10:31,2020-01-01 00:16:00,3,.97,1,N,151,239,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020-01-01 00:16:49,2020-01-01 00:21:20,2,.95,1,N,239,143,1,5.5,0.5,0.5,4,0,0.3,13.3,2.5
2,2020-01-01 00:30:03,2020-01-01 00:37:29,2,1.50,1,N,239,236,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2020-01-01 00:38:14,2020-01-01 00:50:56,3,3.89,1,N,237,224,1,14,0.5,0.5,4.45,0,0.3,22.25,2.5
2,2020-01-01 00:57:10,2020-01-01 01:05:24,1,1.71,1,N,224,162,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-01-01 00:36:30,2020-01-01 01:09:34,1,19.19,2,N,264,264,1,52,0,0.5,13.82,0,0.3,69.12,2.5
2,2020-01-01 00:06:36,2020-01-01 00:16:05,2,1.28,1,N,79,170,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-01-01 00:29:39,2020-01-01 00:45:31,2,2.75,1,N,113,229,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,2020-01-01 00:46:29,2020-01-01 00:51:52,1,1.40,1,N,229,229,1,6.5,0.5,0.5,2,0,0.3,12.3,2.5
2,2020-01-01 00:38:58,2020-01-01 00:51:12,2,3.62,1,N,17,148,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
2,2020-01-01 00:56:29,2020-01-01 00:59:27,1,.54,1,N,79,232,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
1,2020-01-01 00:13:45,2020-01-01 00:41:21,1,3.80,1,N,231,50,1,19,3,0.5,4.55,0,0.3,27.35,2.5
1,2020-01-01 00:55:15,2020-01-01 00:59:13,1,.60,1,N,50,246,1,5,3,0.5,2.6,0,0.3,11.4,2.5
2,2020-01-01 00:19:36,2020-01-01 00:21:09,1,.54,1,N,239,238,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,2020-01-01 00:24:22,2020-01-01 00:25:54,1,.56,1,N,238,239,1,3.5,0.5,0.5,1.7,0,0.3,9,2.5
2,2020-01-01 00:27:23,2020-01-01 00:43:58,1,4.06,1,N,239,137,2,14.5,0.5,0.5,0,0,0.3,18.3,2.5
2,2020-01-01 00:45:37,2020-01-01 01:05:57,1,3.76,1,N,137,262,1,15,0.5,0.5,2.25,0,0.3,21.05,2.5
2,2020-01-01 00:21:24,2020-01-01 00:24:36,1,.53,1,N,113,114,1,4.5,0.5,0.5,0.75,0,0.3,9.05,2.5
2,2020-01-01 00:28:33,2020-01-01 01:04:02,1,4.25,1,N,144,48,2,23,0.5,0.5,0,0,0.3,26.8,2.5
1,2020-01-01 00:19:34,2020-01-01 00:30:38,1,.80,1,N,87,87,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,2020-01-01 00:42:02,2020-01-01 00:56:13,1,2.70,1,N,87,249,1,12,3,0.5,3.15,0,0.3,18.95,2.5
1,2020-01-01 00:58:05,2020-01-01 01:08:56,1,1.70,1,N,249,148,2,9,3,0.5,0,0,0.3,12.8,2.5
1,2020-01-01 00:12:24,2020-01-01 00:17:10,0,1.40,1,N,236,237,1,6,3.5,0.5,2.05,0,0.3,12.35,2.5
1,2020-01-01 00:20:50,2020-01-01 00:36:29,0,1.10,1,N,141,161,1,10.5,3.5,0.5,0.2,0,0.3,15,2.5
1,2020-01-01 00:39:00,2020-01-01 00:46:47,0,.80,1,N,161,233,1,6.5,3.5,0.5,0.5,0,0.3,11.3,2.5
1,2020-01-01 00:48:50,2020-01-01 01:01:32,0,2.30,1,N,233,90,1,10,3.5,0.5,2.85,0,0.3,17.15,2.5
1,2020-01-01 00:06:06,2020-01-01 00:10:45,1,.90,1,N,237,263,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,2020-01-01 00:11:54,2020-01-01 00:17:17,2,1.00,1,N,263,141,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,2020-01-01 00:24:59,2020-01-01 00:32:42,1,.80,1,N,237,140,1,6.5,3,0.5,1.03,0,0.3,11.33,2.5
1,2020-01-01 00:40:06,2020-01-01 00:43:51,1,.50,1,N,141,262,1,4.5,3,0.5,0,0,0.3,8.3,2.5
